Building,Latitude,Longitude
SS,43.66234534377681,-79.39861714589938
BA,43.65949681829138,-79.3975764488016
LM,43.66133440435813,-79.39780711877688
MP,43.660845421794136,-79.39835697162493
ES,43.660806613483544,-79.39923673618182
EX,43.65844896156465,-79.39286648977145
RL,43.66447970890234,-79.39955055463656
KP,43.66056794182197,-79.40065026033267
PB,43.659996969383364,-79.3917138104473
MS,43.66079836671435,-79.39389712858542
